"001","002","003","004","005","006","007","008"
"Sl. No.","Zone","State/ UT Name","Total soil samples target for 2015-16 & 2016-17","Soil samples - Collected","Soil samples - Tested","Total soil health card target for 2015-16 & 2016-17","Soil Health Card issued"
"1","SOUTH ZONE","Andhra Pradesh","1348382","1491304","1374653","7455204","4355143"
"2","SOUTH ZONE","Karnataka","1665765","1675090","1484491","9210012","3553732"
"3","SOUTH ZONE","Kerala","127585","219922","155843","705420","199272"
"4","SOUTH ZONE","Tamil Nadu","1274536","1269784","1262281","7046911","5537237"
"5","SOUTH ZONE","Telangana","1034678","1023188","975680","5720737","2807095"
"6","WEST ZONE","Gujarat","1589236","3334235","3050832","8786883","2414631"
"7","WEST ZONE","Madhya Pradesh","2313977","2315843","1825478","12793976","4387336"
"8","WEST ZONE","Maharashtra","2347121","2614912","2424000","12977232","10105000"
"9","WEST ZONE","Rajasthan","2308013","2343000","1217000","12761005","3210000"
"10","WEST ZONE","Chhattisgarh","703691","776174","730573","3890709","3516045"
"11","WEST ZONE","Goa","25000","25000","25000","25000","20372"
"12","NORTH ZONE","Haryana","788670","788670","788670","4360555","448260"
"13","NORTH ZONE","Punjab","835526","534820","295779","4619621","635277"
"14","NORTH ZONE","Uttarakhand","135738","128342","119318","750494","567178"
"15","NORTH ZONE","Uttar Pradesh","4770399","4846592","2370896","26391089","7258903"
"16","NORTH ZONE","Himachal Pradesh","69635","91947","89897","385011","456606"
"17","NORTH ZONE","J & K","165318","100142","65160","914044","127633"
"18","EAST ZONE","Bihar","1308778","1394248","828436","7236233","2866557"
"19","EAST ZONE","Jharkhand","115302","115302","91506","637507","180968"
"20","EAST ZONE","Odisha","668635","651607","546791","3696881","1617978"
"21","EAST ZONE","West Bengal","1300349","1080000","669000","7189629","2024000"
"22","NE ZONE","Arunachal Pradesh","20532","20262","19001","113523","9670"
"23","NE ZONE","Assam","278707","181041","51119","1540968","139150"
"24","NE ZONE","Manipur","20713","9719","6380","114522","5351"
"25","NE ZONE","Meghalaya","39372","37958","34372","209561","47213"
"26","NE ZONE","Mizoram","11986","12412","9216","11986","8216"
"27","NE ZONE","Nagaland","33423","24995","20675","184797","17700"
"28","NE ZONE","Sikkim","13217","13217","13217","46000","27000"
"29","NE ZONE","Tripura","32736","33000","33000","180998","78334"
"30","Union Territories","Andaman & Nicobar","1405","2176","2176","7799","1918"
"31","Union Territories","Dadra & Nagar Haveli","2162","0","0","12000","0"
"32","Union Territories","Puducherry","3530","4736","4736","19594","1261"
"33","Union Territories","Chandigarh","277","544","0","277","0"
"Total","Total","Total","25354394","27160182","20585176","139996178","56625036"
